# TOTAL_GENES = 16263
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                              TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GO_COATED_VESICLE_MEMBRANE             SET      53       0.1846     0.010521      0.13222      0.08135 GO_COATED_VESICLE_MEMBRANE
GO_COPII_COATED_ER_TO_GOLGI_...        SET      21      0.07112    0.0025541      0.20641      0.36522 GO_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE
GO_COPII_COATED_VESICLE_BUDD...        SET      30     0.049615     0.002129      0.17405       0.3878 GO_COPII_COATED_VESICLE_BUDDING
GO_CYCLIC_NUCLEOTIDE_MEDIATE...        SET      16     -0.04161   -0.0013045      0.23408      0.57054 GO_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING
GO_DIVALENT_INORGANIC_CATION...1       SET      55      0.37061     0.021517      0.13082    0.0023093 GO_DIVALENT_INORGANIC_CATION_HOMEOSTASIS
GO_DIVALENT_INORGANIC_CATION...2       SET      65       0.1817     0.011465      0.12509     0.073172 GO_DIVALENT_INORGANIC_CATION_TRANSPORT
GO_ELECTRON_TRANSPORT_CHAIN            SET      31     -0.21736   -0.0094813      0.16517       0.9059 GO_ELECTRON_TRANSPORT_CHAIN
GO_ENDOPLASMIC_RETICULUM_GOL...1       SET      33      0.18888    0.0084999      0.15366       0.1095 GO_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT
GO_ENDOPLASMIC_RETICULUM_GOL...2       SET      21      0.16652      0.00598      0.17973       0.1771 GO_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE
GO_ENDOPLASMIC_RETICULUM_LUM...        SET      45      0.19323     0.010151      0.13912     0.082429 GO_ENDOPLASMIC_RETICULUM_LUMEN
GO_ENDOPLASMIC_RETICULUM_TO_...        SET      59      0.12971    0.0077987      0.12015      0.14017 GO_ENDOPLASMIC_RETICULUM_TO_GOLGI_VESICLE_MEDIATED_TRANSPORT
GO_ENDOPLASMIC_RETICULUM_UNF...        SET      30      0.62971     0.027022      0.18423   0.00031612 GO_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE
GO_ENERGY_DERIVATION_BY_OXID...        SET      58    -0.095083   -0.0056683      0.12452      0.77743 GO_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS
GO_ERAD_PATHWAY                        SET      30      0.26456     0.011352      0.18339     0.074576 GO_ERAD_PATHWAY
GO_ESTABLISHMENT_OF_ORGANELL...        SET      70    -0.028732    -0.001881      0.11008      0.60295 GO_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION
GO_EXOCYTIC_VESICLE                    SET      37     -0.10913   -0.0051994      0.16714      0.74309 GO_EXOCYTIC_VESICLE
GO_EXTRINSIC_COMPONENT_OF_CY...        SET      18       0.2705    0.0089943      0.21912      0.10853 GO_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE
GO_FATTY_ACID_METABOLIC_PROC...        SET      69     0.041641    0.0027067      0.11767      0.36171 GO_FATTY_ACID_METABOLIC_PROCESS
GO_FEEDING_BEHAVIOR                    SET       8      0.41561    0.0092159      0.40597      0.15299 GO_FEEDING_BEHAVIOR
GO_GENERATION_OF_PRECURSOR_M...        SET      93    -0.028493   -0.0021485      0.10144       0.6106 GO_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY
GO_GLYCOPROTEIN_BIOSYNTHETIC...        SET      60    -0.048476   -0.0029391      0.12805      0.64749 GO_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS
GO_GLYCOPROTEIN_METABOLIC_PR...        SET      75   -0.0077145  -0.00052269      0.11059      0.52781 GO_GLYCOPROTEIN_METABOLIC_PROCESS
GO_GLYCOSYLATION                       SET      58      0.19801     0.011804      0.12768     0.060492 GO_GLYCOSYLATION
GO_GOLGI_ASSOCIATED_VESICLE            SET      36      0.24055     0.011306      0.15255     0.057418 GO_GOLGI_ASSOCIATED_VESICLE
GO_GOLGI_ASSOCIATED_VESICLE_...        SET      35      0.12744    0.0059061      0.14837      0.19519 GO_GOLGI_ASSOCIATED_VESICLE_MEMBRANE
GO_GOLGI_VESICLE_BUDDING               SET      32     0.028079    0.0012444       0.1631      0.43166 GO_GOLGI_VESICLE_BUDDING
GO_GOLGI_VESICLE_TRANSPORT             SET      88       0.1104    0.0080991     0.097389      0.12849 GO_GOLGI_VESICLE_TRANSPORT
GO_G_PROTEIN_COUPLED_RECEPTO...1       SET      25      0.17476    0.0068467      0.18477      0.17213 GO_G_PROTEIN_COUPLED_RECEPTOR_BINDING
GO_G_PROTEIN_COUPLED_RECEPTO...2       SET      15       0.1173    0.0035609      0.26717      0.33032 GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER
GO_HORMONE_ACTIVITY                    SET      12      0.42151     0.011446      0.24171     0.040601 GO_HORMONE_ACTIVITY
GO_HORMONE_BINDING                     SET      13      0.25747    0.0072767       0.2681      0.16845 GO_HORMONE_BINDING
GO_HORMONE_METABOLIC_PROCESS           SET      18      0.27236    0.0090563      0.25165      0.13957 GO_HORMONE_METABOLIC_PROCESS
GO_HORMONE_TRANSPORT                   SET      46       0.2637     0.014005      0.14264     0.032258 GO_HORMONE_TRANSPORT
GO_INNER_MITOCHONDRIAL_MEMBR...        SET      30     -0.10236   -0.0043923      0.18198       0.7131 GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX
GO_INSULIN_SECRETION                   SET      43      0.19238    0.0098794      0.14743     0.095971 GO_INSULIN_SECRETION
GO_INTRINSIC_COMPONENT_OF_EN...        SET      34      0.38658     0.017658      0.15134    0.0053248 GO_INTRINSIC_COMPONENT_OF_ENDOPLASMIC_RETICULUM_MEMBRANE
GO_INTRINSIC_COMPONENT_OF_OR...        SET      64      0.30637     0.019182      0.11623    0.0041994 GO_INTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE
GO_ION_CHANNEL_REGULATOR_ACT...        SET      25    -0.074274   -0.0029099       0.2106      0.63783 GO_ION_CHANNEL_REGULATOR_ACTIVITY
GO_IRE1_MEDIATED_UNFOLDED_PR...        SET      20      0.62639     0.021954       0.2313    0.0033873 GO_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE
GO_ISOMERASE_ACTIVITY                  SET      30     -0.03244    -0.001392      0.17954      0.57169 GO_ISOMERASE_ACTIVITY
GO_MEMBRANE_COAT                       SET      33      0.18809    0.0084643      0.16694      0.12994 GO_MEMBRANE_COAT
GO_METAL_ION_HOMEOSTASIS               SET      76      0.34236      0.02335      0.11209    0.0011303 GO_METAL_ION_HOMEOSTASIS
GO_MITOCHONDRIAL_MATRIX                SET      81    0.0068936   0.00048531      0.10551      0.47395 GO_MITOCHONDRIAL_MATRIX
GO_MITOCHONDRIAL_PROTEIN_COM...        SET      45    -0.024915   -0.0013088      0.14788      0.56689 GO_MITOCHONDRIAL_PROTEIN_COMPLEX
GO_MITOCHONDRIAL_RESPIRATORY...        SET      28    0.0055807   0.00023137      0.17936      0.48759 GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY
GO_MITOCHONDRION_ORGANIZATION          SET      86     0.019149    0.0013889      0.10245      0.42586 GO_MITOCHONDRION_ORGANIZATION
GO_MONOAMINE_TRANSPORT                 SET       8       0.2762    0.0061245      0.35532      0.21849 GO_MONOAMINE_TRANSPORT
GO_MONOSACCHARIDE_BIOSYNTHET...        SET      25      0.17541    0.0068724      0.18833      0.17583 GO_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS
GO_NEGATIVE_REGULATION_OF_ES...        SET      24      0.40526     0.015557      0.19085     0.016866 GO_NEGATIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION
GO_NEGATIVE_REGULATION_OF_PE...        SET      11      0.72826     0.018934      0.30403    0.0083091 GO_NEGATIVE_REGULATION_OF_PEPTIDE_SECRETION
GO_NEGATIVE_REGULATION_OF_SE...        SET      14      0.60282      0.01768      0.27332     0.013717 GO_NEGATIVE_REGULATION_OF_SECRETION
GO_NEGATIVE_REGULATION_OF_TR...        SET      45      0.33295      0.01749      0.13731    0.0076641 GO_NEGATIVE_REGULATION_OF_TRANSPORT
GO_NEUROPEPTIDE_SIGNALING_PA...        SET       7       0.3211    0.0066605      0.39949      0.21077 GO_NEUROPEPTIDE_SIGNALING_PATHWAY
GO_NUCLEOBASE_CONTAINING_SMA...        SET     104       0.2514      0.02004     0.092671    0.0033399 GO_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS
GO_ORGANELLE_INNER_MEMBRANE            SET      73    -0.010776  -0.00072036       0.1115      0.53849 GO_ORGANELLE_INNER_MEMBRANE
GO_ORGANELLE_SUBCOMPARTMENT            SET      85    -0.047218   -0.0034048      0.10757      0.66965 GO_ORGANELLE_SUBCOMPARTMENT
GO_OXIDATIVE_PHOSPHORYLATION           SET      28      -0.1666   -0.0069069      0.16805      0.83923 GO_OXIDATIVE_PHOSPHORYLATION
GO_OXIDOREDUCTASE_ACTIVITY             SET      73     0.043438    0.0029038      0.11154      0.34848 GO_OXIDOREDUCTASE_ACTIVITY
GO_OXIDOREDUCTASE_ACTIVITY_A...        SET      22     -0.20742    -0.007624      0.21245      0.83555 GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_NAD_P_H
GO_OXIDOREDUCTASE_COMPLEX              SET      33     -0.20248   -0.0091118      0.17024      0.88283 GO_OXIDOREDUCTASE_COMPLEX
GO_PEPTIDE_HORMONE_SECRETION           SET      47      0.16125    0.0086561       0.1426      0.12908 GO_PEPTIDE_HORMONE_SECRETION
GO_PEPTIDE_SECRETION                   SET      66      0.33513     0.021307      0.11942    0.0025094 GO_PEPTIDE_SECRETION
GO_PIGMENT_GRANULE                     SET      23      0.16098    0.0060498      0.17914      0.18443 GO_PIGMENT_GRANULE
GO_POSITIVE_REGULATION_OF_ES...        SET      49      0.18072    0.0099054      0.13285     0.086866 GO_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION
GO_POSITIVE_REGULATION_OF_HO...        SET      21     0.090524    0.0032509      0.19988      0.32532 GO_POSITIVE_REGULATION_OF_HORMONE_SECRETION
GO_POSITIVE_REGULATION_OF_IN...        SET      21    -0.029926   -0.0010747      0.20136      0.55907 GO_POSITIVE_REGULATION_OF_INSULIN_SECRETION
GO_POSITIVE_REGULATION_OF_PE...1       SET      23    -0.026786   -0.0010067      0.19519      0.55458 GO_POSITIVE_REGULATION_OF_PEPTIDE_HORMONE_SECRETION
GO_POSITIVE_REGULATION_OF_PE...2       SET      31     0.098395    0.0042919      0.16217      0.27202 GO_POSITIVE_REGULATION_OF_PEPTIDE_SECRETION
GO_POSITIVE_REGULATION_OF_SE...        SET      41      0.12943    0.0064907      0.15537      0.20242 GO_POSITIVE_REGULATION_OF_SECRETION
GO_POSITIVE_REGULATION_OF_SM...        SET      14    -0.067911   -0.0019917      0.26438      0.60136 GO_POSITIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS
GO_PRIMARY_ACTIVE_TRANSMEMBR...        SET      14      0.27261    0.0079954      0.28172      0.16661 GO_PRIMARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
GO_PROTEIN_FOLDING                     SET      40       0.1234    0.0061128      0.15426      0.21187 GO_PROTEIN_FOLDING
GO_PROTEIN_MATURATION                  SET      24      0.34984      0.01343      0.20385     0.043077 GO_PROTEIN_MATURATION
GO_PROTEIN_N_LINKED_GLYCOSYL...        SET      21     0.013723   0.00049283      0.20999      0.47395 GO_PROTEIN_N_LINKED_GLYCOSYLATION
GO_PROTEIN_PROCESSING                  SET      17      0.04866    0.0015725      0.22879      0.41579 GO_PROTEIN_PROCESSING
GO_PROTEIN_TRANSMEMBRANE_TRA...        SET      10     -0.15448   -0.0038295      0.33952      0.67544 GO_PROTEIN_TRANSMEMBRANE_TRANSPORT
GO_REGULATION_OF_CARDIAC_CON...        SET      12     -0.37191    -0.010099      0.30299      0.89017 GO_REGULATION_OF_CARDIAC_CONDUCTION
GO_REGULATION_OF_CARDIAC_MUS...        SET      18      0.44872     0.014921      0.22931     0.025194 GO_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION
GO_REGULATION_OF_EXOCYTOSIS            SET      26      0.16518    0.0065994       0.2127      0.21871 GO_REGULATION_OF_EXOCYTOSIS
GO_REGULATION_OF_HORMONE_LEV...        SET      61      0.25256     0.015439      0.12306     0.020075 GO_REGULATION_OF_HORMONE_LEVELS
GO_REGULATION_OF_HORMONE_SEC...        SET      43      0.23394     0.012014      0.14517     0.053545 GO_REGULATION_OF_HORMONE_SECRETION
GO_REGULATION_OF_INSULIN_SEC...        SET      37      0.20962    0.0099873      0.15534     0.088608 GO_REGULATION_OF_INSULIN_SECRETION
GO_REGULATION_OF_MUSCLE_CONT...        SET      25      0.27612     0.010818       0.2013     0.085094 GO_REGULATION_OF_MUSCLE_CONTRACTION
GO_REGULATION_OF_NEUROTRANSM...1       SET      27     0.054023    0.0021994      0.20529      0.39622 GO_REGULATION_OF_NEUROTRANSMITTER_LEVELS
GO_REGULATION_OF_NEUROTRANSM...2       SET      14     -0.12497   -0.0036653        0.295      0.66408 GO_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT
GO_REGULATION_OF_PEPTIDE_HOR...        SET      39      0.20273    0.0099161      0.15246      0.09181 GO_REGULATION_OF_PEPTIDE_HORMONE_SECRETION
GO_REGULATION_OF_PEPTIDE_SEC...        SET      52      0.32437     0.018313      0.13264    0.0072387 GO_REGULATION_OF_PEPTIDE_SECRETION
GO_REGULATION_OF_RESPONSE_TO...        SET      19      0.36988     0.012636       0.2288     0.052994 GO_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS
GO_REGULATION_OF_STRIATED_MU...        SET      18      0.44872     0.014921      0.22931     0.025194 GO_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION
GO_REGULATION_OF_SYNAPTIC_VE...1       SET      32    -0.011029  -0.00048875      0.19222      0.52288 GO_REGULATION_OF_SYNAPTIC_VESICLE_CYCLE
GO_REGULATION_OF_SYNAPTIC_VE...2       SET      10     -0.29676   -0.0073566      0.35518      0.79828 GO_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS
GO_REGULATION_OF_TRANS_SYNAP...        SET      64     0.043497    0.0027234      0.12151      0.36019 GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING
GO_RESPIRASOME                         SET      18     -0.19692    -0.006548      0.21156      0.82402 GO_RESPIRASOME
GO_RESPIRATORY_CHAIN_COMPLEX           SET      18     -0.19692    -0.006548      0.21156      0.82402 GO_RESPIRATORY_CHAIN_COMPLEX
GO_RESPIRATORY_ELECTRON_TRAN...        SET      26     -0.25439    -0.010164      0.17767      0.92389 GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN
GO_RESPONSE_TO_ENDOPLASMIC_R...        SET      77      0.22523     0.015462      0.11336     0.023476 GO_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS
GO_RESPONSE_TO_TOPOLOGICALLY...        SET      49      0.26169     0.014343      0.14515     0.035712 GO_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN
GO_RETROGRADE_VESICLE_MEDIAT...        SET      29      0.12664    0.0053432      0.15352      0.20472 GO_RETROGRADE_VESICLE_MEDIATED_TRANSPORT_GOLGI_TO_ENDOPLASMIC_RETICULUM
GO_SECOND_MESSENGER_MEDIATED...        SET      33     -0.10405   -0.0046824      0.15914      0.74338 GO_SECOND_MESSENGER_MEDIATED_SIGNALING
GO_SECRETORY_GRANULE_MEMBRANE          SET      37      0.34317      0.01635      0.15516       0.0135 GO_SECRETORY_GRANULE_MEMBRANE
GO_SIGNAL_RELEASE                      SET      81      0.24434     0.017201      0.10735     0.011431 GO_SIGNAL_RELEASE
GO_TRANSFERASE_ACTIVITY_TRAN...1       SET      33     -0.30351    -0.013659      0.17573      0.95792 GO_TRANSFERASE_ACTIVITY_TRANSFERRING_GLYCOSYL_GROUPS
GO_TRANSFERASE_ACTIVITY_TRAN...2       SET      21     -0.38902    -0.013971      0.22029      0.96128 GO_TRANSFERASE_ACTIVITY_TRANSFERRING_HEXOSYL_GROUPS
GO_TRANSPORT_VESICLE                   SET      67      0.29165     0.018682      0.11427    0.0053543 GO_TRANSPORT_VESICLE
GO_TRANSPORT_VESICLE_MEMBRANE          SET      35      0.41666     0.019309      0.16727    0.0063742 GO_TRANSPORT_VESICLE_MEMBRANE
GO_TRANS_GOLGI_NETWORK                 SET      54     0.098207    0.0056498      0.13645      0.23585 GO_TRANS_GOLGI_NETWORK
GO_UBIQUITIN_DEPENDENT_ERAD_...        SET      20       0.2086     0.007311      0.23395       0.1863 GO_UBIQUITIN_DEPENDENT_ERAD_PATHWAY
GO_VACUOLAR_MEMBRANE                   SET      69        0.201     0.013065      0.10942      0.03312 GO_VACUOLAR_MEMBRANE
GO_VESICLE_BUDDING_FROM_MEMB...        SET      35      0.10672    0.0049457      0.15632       0.2474 GO_VESICLE_BUDDING_FROM_MEMBRANE
GO_VESICLE_COAT                        SET      19      0.10026    0.0034249      0.21106      0.31739 GO_VESICLE_COAT
GO_VESICLE_LOCALIZATION                SET      52    -0.053746   -0.0030344      0.12897      0.66156 GO_VESICLE_LOCALIZATION
GO_VESICLE_ORGANIZATION                SET      67     0.013801   0.00088401       0.1135      0.45161 GO_VESICLE_ORGANIZATION
GO_VESICLE_TARGETING                   SET      36      0.11376    0.0053467      0.15727      0.23474 GO_VESICLE_TARGETING
GO_VESICLE_TARGETING_TO_FROM...        SET      29     0.069068    0.0029141       0.1694      0.34174 GO_VESICLE_TARGETING_TO_FROM_OR_WITHIN_GOLGI
HP_ABNORMALITY_OF_ACID_BASE_...        SET      64   -0.0063522  -0.00039771       0.1169      0.52167 HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS
HP_ABNORMALITY_OF_RETINAL_PI...        SET      52      0.17419    0.0098342      0.12434     0.080635 HP_ABNORMALITY_OF_RETINAL_PIGMENTATION
HP_ABNORMALITY_OF_THE_COAGUL...        SET      16      0.63038     0.019763      0.25069    0.0059647 HP_ABNORMALITY_OF_THE_COAGULATION_CASCADE
HP_ABNORMALITY_OF_THE_MITOCH...        SET      23     -0.12428   -0.0046705      0.18791      0.74581 HP_ABNORMALITY_OF_THE_MITOCHONDRION
HP_ABNORMALITY_OF_URINE_HOME...        SET      85      0.22221     0.016023      0.10528     0.017409 HP_ABNORMALITY_OF_URINE_HOMEOSTASIS
HP_ABNORMAL_ACTIVITY_OF_MITO...        SET      20     -0.11565   -0.0040533      0.19055      0.72805 HP_ABNORMAL_ACTIVITY_OF_MITOCHONDRIAL_RESPIRATORY_CHAIN
HP_ABNORMAL_BLOOD_GLUCOSE_CO...        SET      46      0.11841    0.0062887      0.14313      0.20404 HP_ABNORMAL_BLOOD_GLUCOSE_CONCENTRATION
HP_ABNORMAL_CIRCULATING_NITR...        SET      17      0.22272    0.0071972      0.21445      0.14951 HP_ABNORMAL_CIRCULATING_NITROGEN_COMPOUND_CONCENTRATION
HP_ABNORMAL_CSF_METABOLITE_L...        SET      30    -0.024204   -0.0010386      0.17857      0.55391 HP_ABNORMAL_CSF_METABOLITE_LEVEL
HP_ABNORMAL_EATING_BEHAVIOR            SET       7     -0.20343   -0.0042197      0.32762      0.73267 HP_ABNORMAL_EATING_BEHAVIOR
HP_ABNORMAL_GLUCOSE_HOMEOSTA...        SET      68      0.29706     0.019169      0.11806    0.0059361 HP_ABNORMAL_GLUCOSE_HOMEOSTASIS
HP_ABNORMAL_METABOLISM                 SET      16      0.37817     0.011856      0.21657       0.0404 HP_ABNORMAL_METABOLISM
HP_ABNORMAL_RENAL_PHYSIOLOGY           SET      82      0.13755    0.0097429      0.10461     0.094289 HP_ABNORMAL_RENAL_PHYSIOLOGY
HP_ABNORMAL_URINE_PH                   SET      32      0.31524      0.01397       0.1687     0.030845 HP_ABNORMAL_URINE_PH
HP_ABNORMAL_URINE_PROTEIN_LE...        SET      30      0.36006     0.015451      0.16912     0.016636 HP_ABNORMAL_URINE_PROTEIN_LEVEL
HP_ADULT_ONSET                         SET      16      0.95286     0.029874      0.24321   4.4885e-05 HP_ADULT_ONSET
HP_BRADYKINESIA                        SET      18      0.10237    0.0034041      0.20847      0.31169 HP_BRADYKINESIA
HP_FOCAL_DYSTONIA                      SET       7    -0.055557   -0.0011524      0.32928      0.56699 HP_FOCAL_DYSTONIA
HP_INCREASED_CSF_LACTATE               SET      22     0.040617    0.0014929      0.19941       0.4193 HP_INCREASED_CSF_LACTATE
HP_INCREASED_SERUM_LACTATE             SET      31    -0.017246  -0.00075227      0.17227      0.53987 HP_INCREASED_SERUM_LACTATE
HP_LACTIC_ACIDOSIS                     SET      37      0.13647    0.0065019      0.15473      0.18891 HP_LACTIC_ACIDOSIS
HP_MUSCLE_ABNORMALITY_RELATE...        SET      16      0.17461    0.0054743      0.21893      0.21257 HP_MUSCLE_ABNORMALITY_RELATED_TO_MITOCHONDRIAL_DYSFUNCTION
HP_MUSCLE_SPASM                        SET      17      0.43849      0.01417      0.22283     0.024556 HP_MUSCLE_SPASM
HP_NEPHROPATHY                         SET       7      0.36402    0.0075508      0.41394       0.1896 HP_NEPHROPATHY
HP_PACE_OF_PROGRESSION                 SET      64     0.098702    0.0061797      0.11985      0.20511 HP_PACE_OF_PROGRESSION
HP_PROGRESSIVE                         SET      45      0.13069    0.0068652      0.14181      0.17838 HP_PROGRESSIVE
HP_PSYCHOSIS                           SET      12      0.21387    0.0058076      0.26671      0.21131 HP_PSYCHOSIS
HP_REDUCED_CONSCIOUSNESS_CON...        SET      47     0.073994    0.0039722      0.13851       0.2966 HP_REDUCED_CONSCIOUSNESS_CONFUSION
HP_REDUCED_TENDON_REFLEXES             SET      91     0.008479    0.0006325      0.10236      0.46699 HP_REDUCED_TENDON_REFLEXES
HP_RENAL_TUBULAR_DYSFUNCTION           SET      28      0.24588     0.010194      0.16689      0.07034 HP_RENAL_TUBULAR_DYSFUNCTION
HP_RESTLESSNESS                        SET      23      0.17642    0.0066299      0.18762      0.17355 HP_RESTLESSNESS
HP_RIGIDITY                            SET      39     -0.02359   -0.0011539      0.14709      0.56371 HP_RIGIDITY
